adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-01-000000060843409,A9_6H BLC,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,16866,False
grp-a001-01-000000060868357,아이폰SE2_지문방지,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_SE2,,,,,,unresolved,True,83147,False
grp-a001-01-000000060868358,아이폰SE3_지문방지,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_SE3,,,,,,unresolved,True,43736,False
grp-a001-01-000000061883897,14프로_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,5176,False
grp-a001-01-000000061883898,14프로맥스_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,2028,False
grp-a001-01-000000061883899,14_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,3690,False
grp-a001-01-000000061883900,14플러스_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,2810,False
grp-a001-01-000000061883901,13프로_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,6190,False
grp-a001-01-000000061883902,13프로맥스_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,1860,False
grp-a001-01-000000061883903,13_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,840,False
grp-a001-01-000000061883904,13미니_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,3330,False
grp-a001-01-000000061924085,13_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,860,False
grp-a001-01-000000061924086,13미니_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,3780,False
grp-a001-01-000000061924087,13프로_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,1245,False
grp-a001-01-000000061924088,13프로맥스_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,490,False
grp-a001-01-000000061924089,14_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,470,False
grp-a001-01-000000061924090,14프로_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,2800,False
grp-a001-01-000000061924091,14프로맥스_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,0,False
grp-a001-01-000000061924092,14플러스_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,500,False
grp-a001-01-000000061924194,노트20_일(품절),○ [P_Test]소다케이스 파워링크,WEB_SITE,note:노트20,,,,,,unresolved,True,260,False
grp-a001-01-000000061924195,노트20울트라_일(품절),○ [P_Test]소다케이스 파워링크,WEB_SITE,note:노트20울트라,,,,,,unresolved,True,420,False
grp-a001-02-000000044299892,02. S23FE,● 02. 갤럭시_보급형_M,SHOPPING,galaxy_s:S23FE_unresolved,,,,,,unresolved,True,1547302,False
grp-a001-02-000000044299955,03. S20FE,● 02. 갤럭시_보급형_M,SHOPPING,galaxy_s:S9-S21,,,,,,unresolved,True,622096,False
grp-a001-02-000000044300450,06. 53/A73,● 02. 갤럭시_보급형_M,SHOPPING,galaxy_a:A73,,,,,,unresolved,True,339519,False
grp-a001-02-000000044565865,버디필름,● 01. 갤럭시_지문방지_TPU,SHOPPING,galaxy_a:budi_unresolved,,,,,,unresolved,True,25563,False
